============================================================
  Generated by:           Genus(TM) Synthesis Solution 21.10-p002_1
  Generated on:           Apr 13 2023  02:06:45 am
  Module:                 top_FNN
  Technology library:     uk65lscllmvbbr_120c25_tc 
  Operating conditions:   uk65lscllmvbbr_120c25_tc (balanced_tree)
  Wireload mode:          top
  Area mode:              timing library
============================================================

      Instance                             Module                        Cell Count  Cell Area  Net Area   Total Area  Wireload  
---------------------------------------------------------------------------------------------------------------------------------
top_FNN                                                                      244066 648116.280     0.000   648116.280   wl0 (D)  
    n_707_siginst.s1 Sig_ROM_inWidth10_dataWidth16_45                           961   2143.080     0.000     2143.080   wl0 (T)  
    n_708_siginst.s1 Sig_ROM_inWidth10_dataWidth16_46                           961   2143.080     0.000     2143.080   wl0 (T)  
    n_709_siginst.s1 Sig_ROM_inWidth10_dataWidth16_47                           961   2143.080     0.000     2143.080   wl0 (T)  
    n_710_siginst.s1 Sig_ROM_inWidth10_dataWidth16_50                           961   2143.080     0.000     2143.080   wl0 (T)  
    n_711_siginst.s1 Sig_ROM_inWidth10_dataWidth16_52                           961   2143.080     0.000     2143.080   wl0 (T)  
    n_712_siginst.s1 Sig_ROM_inWidth10_dataWidth16_54                           961   2143.080     0.000     2143.080   wl0 (T)  
    n_713_siginst.s1 Sig_ROM_inWidth10_dataWidth16_57                           961   2143.080     0.000     2143.080   wl0 (T)  
    n_714_siginst.s1 Sig_ROM_inWidth10_dataWidth16_58                           961   2143.080     0.000     2143.080   wl0 (T)  
    n_715_siginst.s1 Sig_ROM_inWidth10_dataWidth16_59                           961   2142.720     0.000     2142.720   wl0 (T)  
  (D) = wireload is default in technology library
  (T) = wireload mode is 'top'
