============================================================
  Generated by:           Genus(TM) Synthesis Solution 21.10-p002_1
  Generated on:           Apr 13 2023  02:06:44 am
  Module:                 top_FNN
  Technology library:     uk65lscllmvbbr_120c25_tc 
  Operating conditions:   uk65lscllmvbbr_120c25_tc (balanced_tree)
  Wireload mode:          top
  Area mode:              timing library
============================================================

                                      
     Gate       Instances     Area              Library           
INVM8R                712    1794.240    uk65lscllmvbbr_120c25_tc 
MAO222M1RA             20      72.000    uk65lscllmvbbr_120c25_tc 
MAO222M2RA             37     146.520    uk65lscllmvbbr_120c25_tc 
MAO222M4RA            188     812.160    uk65lscllmvbbr_120c25_tc 
MAOI222M1RA            95     273.600    uk65lscllmvbbr_120c25_tc 
MAOI222M2RA           577    1661.760    uk65lscllmvbbr_120c25_tc 
MAOI222M4RA            24     112.320    uk65lscllmvbbr_120c25_tc 
MAOI222M8RA             5      28.800    uk65lscllmvbbr_120c25_tc 
MAOI22M1RA             39     112.320    uk65lscllmvbbr_120c25_tc 
MAOI22M2RA           3685   10612.800    uk65lscllmvbbr_120c25_tc 
MAOI22M4RA            112     483.840    uk65lscllmvbbr_120c25_tc 
MAOI22M8RA              1       5.040    uk65lscllmvbbr_120c25_tc 
MOAI22M1RA             30      86.400    uk65lscllmvbbr_120c25_tc 
MOAI22M2RA           4563   13141.440    uk65lscllmvbbr_120c25_tc 
MOAI22M4RA              8      34.560    uk65lscllmvbbr_120c25_tc 
MUX2M12RA               3      25.920    uk65lscllmvbbr_120c25_tc 
MUX2M1RA               84     302.400    uk65lscllmvbbr_120c25_tc 
MUX2M2RA              278    1100.880    uk65lscllmvbbr_120c25_tc 
MUX2M3RA               70     302.400    uk65lscllmvbbr_120c25_tc 
MUX2M4RA              228     984.960    uk65lscllmvbbr_120c25_tc 
MUX2M6R                59     297.360    uk65lscllmvbbr_120c25_tc 
MXB2M1RA             1269    3654.720    uk65lscllmvbbr_120c25_tc 
MXB2M2RA                7      32.760    uk65lscllmvbbr_120c25_tc 
MXB2M3RA               12      60.480    uk65lscllmvbbr_120c25_tc 
MXB2M4RA                5      25.200    uk65lscllmvbbr_120c25_tc 
MXB2M6RA              115     786.600    uk65lscllmvbbr_120c25_tc 
MXB2M8RA                6      43.200    uk65lscllmvbbr_120c25_tc 
MXB3M1RA                8      43.200    uk65lscllmvbbr_120c25_tc 
ND2B1M12RA              9      64.800    uk65lscllmvbbr_120c25_tc 
ND2B1M1R             1479    3194.640    uk65lscllmvbbr_120c25_tc 
ND2B1M2R             4449    9609.840    uk65lscllmvbbr_120c25_tc 
ND2B1M4R              592    1704.960    uk65lscllmvbbr_120c25_tc 
ND2B1M6RA             104     411.840    uk65lscllmvbbr_120c25_tc 
ND2B1M8R               19     102.600    uk65lscllmvbbr_120c25_tc 
ND2M12RA              155     948.600    uk65lscllmvbbr_120c25_tc 
ND2M16RA               65     514.800    uk65lscllmvbbr_120c25_tc 
ND2M1R               2270    3268.800    uk65lscllmvbbr_120c25_tc 
ND2M2R              18857   27154.080    uk65lscllmvbbr_120c25_tc 
ND2M3R                599    1509.480    uk65lscllmvbbr_120c25_tc 
ND2M4R               2832    7136.640    uk65lscllmvbbr_120c25_tc 
ND2M5R                 71     230.040    uk65lscllmvbbr_120c25_tc 
ND2M6R                408    1321.920    uk65lscllmvbbr_120c25_tc 
ND2M8R                189     816.480    uk65lscllmvbbr_120c25_tc 
ND3B1M1R               20      50.400    uk65lscllmvbbr_120c25_tc 
ND3B1M2R              544    1370.880    uk65lscllmvbbr_120c25_tc 
ND3B1M4R                9      35.640    uk65lscllmvbbr_120c25_tc 
ND3B1M6RA               1       5.400    uk65lscllmvbbr_120c25_tc 
ND3M12RA               11      99.000    uk65lscllmvbbr_120c25_tc 
ND3M1R                 90     194.400    uk65lscllmvbbr_120c25_tc 
ND3M2R                954    2060.640    uk65lscllmvbbr_120c25_tc 
ND3M3R                 14      50.400    uk65lscllmvbbr_120c25_tc 
ND3M4RA               135     437.400    uk65lscllmvbbr_120c25_tc 
ND3M6RA                99     463.320    uk65lscllmvbbr_120c25_tc 
ND3M8RA                88     538.560    uk65lscllmvbbr_120c25_tc 
ND4B1M1R               50     144.000    uk65lscllmvbbr_120c25_tc 
ND4B1M2R             1147    3303.360    uk65lscllmvbbr_120c25_tc 
ND4B1M4R                2      10.080    uk65lscllmvbbr_120c25_tc 
ND4B1M6RA              30     205.200    uk65lscllmvbbr_120c25_tc 
ND4B1M8RA               1       9.360    uk65lscllmvbbr_120c25_tc 
ND4B2M1R                7      25.200    uk65lscllmvbbr_120c25_tc 
ND4B2M2R              155     558.000    uk65lscllmvbbr_120c25_tc 
ND4M1R                  6      15.120    uk65lscllmvbbr_120c25_tc 
ND4M2R               3853    9709.560    uk65lscllmvbbr_120c25_tc 
ND4M4R                 10      43.200    uk65lscllmvbbr_120c25_tc 
ND4M6R                  8      48.960    uk65lscllmvbbr_120c25_tc 
NR2B1M12RA             14     100.800    uk65lscllmvbbr_120c25_tc 
NR2B1M1R              878    1896.480    uk65lscllmvbbr_120c25_tc 
NR2B1M2R             2202    4756.320    uk65lscllmvbbr_120c25_tc 
NR2B1M4R              217     624.960    uk65lscllmvbbr_120c25_tc 
NR2B1M6RA              78     308.880    uk65lscllmvbbr_120c25_tc 
NR2B1M8R               29     156.600    uk65lscllmvbbr_120c25_tc 
NR2M12RA               58     354.960    uk65lscllmvbbr_120c25_tc 
NR2M16RA               18     142.560    uk65lscllmvbbr_120c25_tc 
NR2M1R                586     843.840    uk65lscllmvbbr_120c25_tc 
NR2M2R              18518   26665.920    uk65lscllmvbbr_120c25_tc 
NR2M3R                326     821.520    uk65lscllmvbbr_120c25_tc 
NR2M4R               1950    4914.000    uk65lscllmvbbr_120c25_tc 
NR2M5R                 40     129.600    uk65lscllmvbbr_120c25_tc 
NR2M6R                429    1389.960    uk65lscllmvbbr_120c25_tc 
NR2M8R                136     587.520    uk65lscllmvbbr_120c25_tc 
NR3B1M1R              109     274.680    uk65lscllmvbbr_120c25_tc 
NR3B1M2R              540    1360.800    uk65lscllmvbbr_120c25_tc 
